"id";"student_id";"course_id";"status";"enrollment_date";"created_at";"updated_at";"deleted_at"
214;220;46;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
215;221;46;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
216;222;47;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
217;223;46;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
218;224;46;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
219;225;46;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
220;226;12;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
221;227;24;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
222;228;24;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
223;229;24;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
224;230;24;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
225;231;24;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
226;232;23;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
227;233;21;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
228;234;46;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
229;235;46;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
230;236;46;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
231;239;10;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
232;240;23;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
233;241;23;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
234;242;39;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
235;243;20;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
236;244;30;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
237;245;30;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
238;247;30;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
239;248;31;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
240;249;31;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
241;250;31;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
